reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,translated_content
e78d4ddb-c8e0-47c1-a961-d844da8b8fbf,Oleg Pozdniakov,https://play-lh.googleusercontent.com/a-/ALV-UjX0542jRaofEIZ9GdTnxrDmeASpYO-eCMKq8MH8nPwtYzQljh58,No english and a bit messy. App looks more like a web page and not like modern Android app.,3,0,5.1.57,2025-03-21 10:19:53,,,5.1.57,No english and a bit messy. App looks more like a web page and not like modern Android app.
f5ef56ef-e06c-410a-b6bc-327a580df26f,Shanmu MB,https://play-lh.googleusercontent.com/a-/ALV-UjX0GjTm6tYlwvzdUsMmfzUGC_HY7WvJWtEZUvqQVZCoJlozAb_7yg,The options are limited. No way to correct the readings after the move-out. You are asked to use the contact form or phone call for corrections but nobody is taking any action. Competitors have better apps.,2,0,5.1.57,2025-03-19 08:25:50,"Hallo und vielen Dank für Ihren Beitrag. Es tut uns leid, dass Sie verärgert sind. Bitte wenden Sie sich mit Ihrem Anliegen direkt an unsere Kolleginnen und Kollegen vom Kundenservice, die Ihnen gern mit Rat und Tat zur Seite stehen. Viele Grüße Ihre E.ON Energie Deutschland",2025-03-19 08:58:06,5.1.57,The options are limited. No way to correct the readings after the move-out. You are asked to use the contact form or phone call for corrections but nobody is taking any action. Competitors have better apps.
505ae19c-dc14-4e5c-aa9f-8f6a37b1c420,Gursharan Singh,https://play-lh.googleusercontent.com/a/ACg8ocK2umg1Dzk4jPlIQ4-5jaL29Jeq3c5xWzszQtrOXvKCAWkz9w=mo,good,5,0,5.1.57,2025-03-08 12:17:19,,,5.1.57,good
b44e06be-c90d-4c12-baa2-4f91493885b2,Domeniko Gentner,https://play-lh.googleusercontent.com/a-/ALV-UjVIiD1LK7uRA39HWagEC7EobckFIUJnJPAq-JnPcZ77WXCY6hTO,"Gibt man keine Einwilligung zur Werbung, nervt die App die ganze Zeit dass man offene Aufgaben in der Checkliste hätte. Grausam.",1,0,5.1.57,2025-02-25 09:01:03,,,5.1.57,"If you do not give consent to advertising, the app annoys all the time that you have open tasks in the checklist. Awful."
abd148c8-f474-46e8-b188-b5acf824d275,Fredo Peterson,https://play-lh.googleusercontent.com/a-/ALV-UjXo46FtDru0MyF6oRD4cTrCzpREWhpsovppigsP23RZYJh4lqNO,sehr gut,5,0,5.1.57,2025-02-15 11:59:57,,,5.1.57,very good
fa96caa1-cfec-4853-b50a-3eaf5ffc4a90,prosenjit dhar,https://play-lh.googleusercontent.com/a-/ALV-UjVelbrYpJ9sJXhg42PPilkMOmXyBVCwl4_hv2_zpxnOEcC-530Y,Fake company,5,0,5.1.55,2025-02-01 13:35:38,,,5.1.55,Fake company
c66c0b82-f3a0-467d-8b7b-f127fa51bbc3,Chalama K,https://play-lh.googleusercontent.com/a/ACg8ocLm_q21HaM-yKOkuJWpzd5VCeYdNQCiBItKoQj_Wh-UDvcvSA=mo,"Easy to manage bills, meter reading, previous readings, bills.. everything in one place. so great",5,2,5.1.55,2025-02-01 08:04:21,,,5.1.55,"Easy to manage bills, meter reading, previous readings, bills.. everything in one place. so great"
fd0e501a-80b4-4743-8e14-192834078bf4,Mario,https://play-lh.googleusercontent.com/a/ACg8ocLtO-Tdo0uGvX1XGWX0MATN_tFKmkn39Jpmv18dr69LUR1KaAA=mo,"über den Bericht meiner Tracking blocker, muss ich meine 1 Stern Bewertung anders begründen. Warum muss E.ON Daten an Facebook, Google, The Trade Desk, Microsoft... Weitergeben über meine Position, Email, Name, Geburtsdatum, Cookies, Zeitzone und weiter sensiblen Daten Geld zu machen? Sonst, kann ich leider mein neuen Vertrag nicht aktivieren, weil ich über die App nicht den Anfangswert angeben/melden kann. Nach 40 min Wartezeit, habe ich aufgegeben jemand von der Hotline zu bekommen. Sonst ok",1,1,5.1.55,2025-01-16 22:05:47,"Schauen Sie gern hier: https://www.eon.de/de/pk/datenschutz.html. Dienste wie The Trade Desk und Facebook fallen beispielsweise unter Marketingzwecke. Wichtig zu wissen ist, dass Sie der Nutzung dieser Dienste nicht zustimmen müssen. Wenn Sie nicht zustimmen, findet auch keine Datenerhebung und - Weitergabe statt. Ihre E.ON Energie Deutschland",2025-01-17 14:30:58,5.1.55,"I have to justify my 1 star rating about the report of my Tracking Blocker. Why does E.ON have to do data to Facebook, Google, the Trade Desk, Microsoft ... to make money via my position, email, name, date of birth, cookies, time zone and further sensitive data? Otherwise, unfortunately I cannot activate my new contract because I cannot specify/report the initial value via the app. After 40 minutes of waiting, I gave up to get someone from the hotline. Otherwise ok"
d3ccfec9-505b-4dde-808f-6c0711871b19,Cavashima,https://play-lh.googleusercontent.com/a-/ALV-UjVBAE06U7MKgD26m4HOoqF22HWHJIgeKSu00zKjYvaUyrTG_fCQ,is praktisch,5,0,5.1.55,2025-01-08 19:04:18,,,5.1.55,Is practical
1e53a8ff-f026-409d-b2e7-1f6491afff78,Charis Papageorgiou,https://play-lh.googleusercontent.com/a-/ALV-UjUJiyTmjOswUZh6FEORDJ-LTXRV7DiAg57RI6PZQNGwKFoALNVE,Keine English language,2,0,5.1.55,2025-01-06 11:34:39,,,5.1.55,No English Language
f65d64b5-a760-47f1-a013-7ff2c1c58271,Tobu Tenshi,https://play-lh.googleusercontent.com/a-/ALV-UjVJ8wcRl6hAKzcdOYwuA6TEypEWD8tzKAdaBYSDIsLeNV1OleY,absolut inkompetentes Unternehmen. Ich wurde am Telefon gegaslighted,1,0,5.1.53,2024-10-07 14:58:22,"Hallo Tobu, es tut uns leid, dass Sie sich über uns ärgern. Hier dreht sich allerdings alles ausschließlich um unsere Mein E.ON App. Bitte wenden Sie sich deshalb mit anderen Anliegen direkt an unsere Kolleginnen und Kollegen vom Kundenservice, die Ihnen gern mit Rat und Tat zur Seite stehen. Viele Grüße Ihre E.ON Energie Deutschland",2024-10-07 11:12:04,5.1.53,Absolutely incompetent company. I was made on the phone
07023ab3-c996-4727-a145-a578852b912e,Ionut,https://play-lh.googleusercontent.com/a-/ALV-UjWd_CQ9hLgfzwKKmNnEWL4Un4yS0hWvbEvxbcVr4qHYmAFclb8,Die Möglichkeit die Adresse zu ändern funktioniert nicht!!! The option for changing the address doesn't work!!!,1,0,,2024-09-08 21:32:19,Vielen Dank für Ihre Rezension. Wir schauen uns das gern einmal näher für Sie an. Schicken Sie uns bitte weitere Details zusammen mit Ihrer Vertragsnummer an socialmedia@eon.de. Wir kümmern uns dann gern um alles Weitere. Viele Grüße Ihre E.ON Energie Deutschland,2024-09-10 09:13:08,,The possibility of changing the address does not work !!! The Option for Changing The Address Doesn't Work !!!
8060c8b9-4599-4dc3-a4fc-cab21667e57a,Wasim Akram,https://play-lh.googleusercontent.com/a-/ALV-UjWk6niU0DGZX5PRoiCQGCukK5fPk4brvoQXm0o_zuFMtkR3yeZy,"Ihr Service ist sehr schlecht, .",1,0,5.1.52,2024-08-19 18:18:15,,,5.1.52,Your service is very bad.
f4191768-aea5-40ce-942d-a9470408c03d,Frank Schoeneich (fschoeneich),https://play-lh.googleusercontent.com/a-/ALV-UjUZvKVBz4eoAeRydpJ4tGU_z1kuxruiUqr97d1vra9AboD8x9H6IA,Klar und einfach zu bedienen. Klasse vielen Dank 👍🏼😊,5,0,5.1.52,2024-08-15 21:39:15,"Hallo Frank, Dankeschön für Ihre tolle Bewertung🤗. Wir freuen uns wirklich, dass Sie so zufrieden mit der App sind. Viele Grüße und einen guten Start ins Wochenende wünscht Ihre E.ON Energie Deutschland",2024-08-16 09:34:17,5.1.52,Clear and easy to use. Great thank you 👍🏼😊
7595ef13-d5cc-4b89-aec1-4e5ab8c0ef5c,fomukong julius,https://play-lh.googleusercontent.com/a-/ALV-UjU9djVX5YC3G43f204zJ7pTnkkJYNL028JFwEBropGV5LkqIfrAbg,love it. Easy and saves time.,5,0,5.1.51,2024-07-24 09:00:36,🥳 Ganz herzlichen Dank. 😊,2024-07-24 09:05:34,5.1.51,love it. Easy and saves time.
ab2a79c2-4a71-4a64-8f0c-0dafa839a129,Thorben Kaufmann,https://play-lh.googleusercontent.com/a-/ALV-UjWIYl-GdhU78zzoW52q9RGY9aAp239M1GYVPs1OnCJHUgGFN4M,"Not too bad, but: why are you guys allowing Google to track? And not just Google? I kicked this instantly...",1,0,,2024-07-03 12:30:39,"Hallo Thorben, vielen Dank für Ihr Feedback. Wir nutzen nur Dienste, die insgesamt für bessere Funktionen der App notwendig sind - versprochen. In den Einstellungen können Sie der Nutzung Ihrer Daten zustimmen - oder sie ablehnen. :-) Viele Grüße Ihre E.ON Energie Deutschland",2024-07-05 15:02:41,,"Not too bad, but: why are you guys allowing Google to track? And not just Google? I kicked this instantly..."
